,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
0,freelance pages AG,"freelance pages AG is located in Tübingen, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. freelance pages AG has        3 total employees across all of its locations and generates $359,955 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",3,"$359,955",2,2.35
1,Bitmotec GmbH,"Bitmotec GmbH is located in Hannover, Niedersachsen, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry. Bitmotec GmbH has       10 total employees across all of its locations and generates $754,630 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the Bitmotec GmbH corporate family.",10,"$754,630",3,2.35
2,Magazino GmbH,"Magazino GmbH is located in München, Bayern, Germany and is part of the Scientific Research and Development Services Industry. Magazino GmbH has      103 employees at this location and generates $28.42 million in sales (USD). (Sales figure is estimated). ",103,$28.42 million,1,2.23
3,Ottobahn GmbH,"Ottobahn GmbH is located in Pullach i. Isartal, Bayern, Germany and is part of the Machinery, Equipment, and Supplies Merchant Wholesalers Industry. Ottobahn GmbH has       16 employees at this location and generates $4.40 million in sales (USD). (Sales figure is modelled). There are        3 companies in the Ottobahn GmbH corporate family.",16,$4.40 million,3,2.48
5,Portabiles GmbH,"Portabiles GmbH is located in Erlangen, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Portabiles GmbH has        4 employees at this location and generates $159,324 in sales (USD). (Sales figure is estimated). ",4,"$159,324",2,2.35
6,Bosch Sicherheitssysteme GmbH,"Bosch Sicherheitssysteme GmbH is located in Gerlingen, Baden-Württemberg, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. Bosch Sicherheitssysteme GmbH has    2,900 employees at this location and generates $890.40 million in sales (USD).  There are    1,774 companies in the Bosch Sicherheitssysteme GmbH corporate family.","2,900",$890.40 million,1,2.48
8,Incenda AI GmbH,"Incenda AI GmbH is located in Nürnberg, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Incenda AI GmbH has        3 total employees across all of its locations and generates $294,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$294,000",3,2.35
9,MoBerries GmbH,"MoBerries GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. MoBerries GmbH has       15 employees at this location and generates $1.53 million in sales (USD). (Sales figure is estimated). There are        2 companies in the MoBerries GmbH corporate family.",15,$1.53 million,2,2.35
10,Data42 GmbH,"Data42 GmbH is located in Hamburg, Hamburg, Germany and is part of the Scientific Research and Development Services Industry. Data42 GmbH has       10 employees at this location and generates $1.44 million in sales (USD). (Sales figure is estimated). There are       17 companies in the Data42 GmbH corporate family.",10,$1.44 million,2,2.23
11,Glanos GmbH,"Glanos GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Glanos GmbH has        7 employees at this location and generates $1.27 million in sales (USD). (Sales figure is estimated). ",7,$1.27 million,2,2.35
12,Qymatix Solutions GmbH,"Qymatix Solutions GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. Qymatix Solutions GmbH has        6 employees at this location and generates $354,054 in sales (USD). (Sales figure is estimated). ",6,"$354,054",3,2.35
13,KUKA Deutschland GmbH,"KUKA Deutschland GmbH is located in Augsburg, Bayern, Germany and is part of the Industrial Machinery Manufacturing Industry. KUKA Deutschland GmbH has    3,400 employees at this location and generates $798.04 million in sales (USD). (Sales figure is estimated). There are      524 companies in the KUKA Deutschland GmbH corporate family.","3,400",$798.04 million,3,2.48
17,QualiFiction GmbH,"QualiFiction GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. QualiFiction GmbH has        4 total employees across all of its locations and generates $300,946 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",4,"$300,946",,
18,Trevisto AG,"Trevisto AG is located in Nürnberg, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Trevisto AG has       24 employees at this location and generates $2.00 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Trevisto AG corporate family.",24,$2.00 million,2,2.35
20,fka GmbH,"fka GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Scientific Research and Development Services Industry. fka GmbH has      175 employees at this location and generates $21.27 million in sales (USD).  There are      966 companies in the fka GmbH corporate family.",175,$21.27 million,1,2.23
21,ARS Computer und Consulting GmbH,"ARS Computer und Consulting GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. ARS Computer und Consulting GmbH has       70 employees at this location and generates $6.99 million in sales (USD). (Sales figure is estimated). There are       26 companies in the ARS Computer und Consulting GmbH corporate family.",70,$6.99 million,2,2.35
22,Infineon Technologies AG,"Infineon Technologies makes semiconductors, microcontrollers, sensors, switches, and other devices that manage power, energy, security, and other functions in cars, phone, appliances, and machinery. The company's products are No. 1 or 2 in their markets for automotive, industrial power control, power management, and digital security applications. Automotive is Infineon's biggest market, accounting for about 45% of sales. Customers include Bosch, Bombardier,",,$12.98 billion,2,2.35
24,Universität Passau,"Universität Passau is located in Passau, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Passau has        7 total employees across all of its locations and generates $191,000 in sales (USD). (Employees and Sales figures are modelled). ",7,"$191,000",2,2.23
25,ENER-IQ GmbH,"ENER-IQ GmbH is located in Norderstedt, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. ENER-IQ GmbH has        4 total employees across all of its locations and generates $411,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$411,000",3,2.35
26,Fachhochschule Bielefeld,"Fachhochschule Bielefeld is located in Bielefeld, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Fachhochschule Bielefeld has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are       10 companies in the Fachhochschule Bielefeld corporate family.",,$4.77 million,2,2.23
29,KImedi GmbH,"KImedi GmbH is located in Donauwörth, Bayern, Germany and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. KImedi GmbH has        3 total employees across all of its locations and generates $464,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$464,000",3,2.23
30,Albert-Ludwigs-Universität Freiburg,"Albert-Ludwigs-Universität Freiburg is located in Freiburg im Breisgau, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Albert-Ludwigs-Universität Freiburg has    6,738 employees at this location and generates $642.52 million in sales (USD). (Sales figure is modelled). There are       58 companies in the Albert-Ludwigs-Universität Freiburg corporate family.","6,738",$642.52 million,1,2.23
31,Vision Impulse GmbH,"Vision Impulse GmbH is located in Kaiserslautern, Rheinland-Pfalz, Germany and is part of the Computer Systems Design and Related Services Industry. Vision Impulse GmbH has        3 total employees across all of its locations and generates $411,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$411,000",3,2.35
32,e-bot7 GmbH,"e-bot7 GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. e-bot7 GmbH has       57 employees at this location and generates $4.55 million in sales (USD). (Sales figure is estimated). There are       31 companies in the e-bot7 GmbH corporate family.",57,$4.55 million,1,2.35
33,Brainalyzed Finance GmbH,"Brainalyzed Finance GmbH is located in Bad Bramstedt, Schleswig-Holstein, Germany and is part of the Activities Related to Credit Intermediation Industry. Brainalyzed Finance GmbH has        3 total employees across all of its locations and generates $192,207 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the Brainalyzed Finance GmbH corporate family.",3,"$192,207",3,2.73
34,Adolf Würth GmbH & Co. KG,"Würth&nbsp;Group is a diversified German manufacturer whose more than 400 companies produce screws and fasteners, tools, personal protection equipment, lubricants, paints, and other items essential to construction and industry. Altogether it makes more than 125,000 products which, supported by a massive sales force, it distributes in more than 80 countries through its two main businesses, Würth Line, which offers screws and fasteners&nbsp;under the&nbsp;Würth","4,674",$17.05 billion,1,2.23
37,AVA Information Systems GmbH,"AVA Information Systems GmbH is located in Berlin, Berlin, Germany and is part of the Software Publishers Industry. AVA Information Systems GmbH has        2 employees at this location and generates $501,576 in sales (USD). (Sales figure is estimated). There are        2 companies in the AVA Information Systems GmbH corporate family.",2,"$501,576",2,2.35
38,plus10 GmbH,"plus10 GmbH is located in Augsburg, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. plus10 GmbH has       15 employees at this location and generates $1.90 million in sales (USD). (Sales figure is modelled). There are        2 companies in the plus10 GmbH corporate family.",15,$1.90 million,1,2.35
40,PLANET intelligent Systems GmbH,"PLANET intelligent Systems GmbH is located in Raben Steinfeld, Mecklenburg-Vorpommern, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry. PLANET intelligent Systems GmbH has       13 employees at this location and generates $6.21 million in sales (USD). (Sales figure is estimated). There are        6 companies in the PLANET intelligent Systems GmbH corporate family.",13,$6.21 million,2,2.35
41,AtomLeap GmbH,"AtomLeap GmbH is located in Berlin, Berlin, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. AtomLeap GmbH has       24 employees at this location and generates $702,207 in sales (USD). (Sales figure is estimated). ",24,"$702,207",2,2.23
42,RapidMiner GmbH,"RapidMiner GmbH is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. RapidMiner GmbH has       24 employees at this location and generates $2.55 million in sales (USD). (Sales figure is estimated). There are        3 companies in the RapidMiner GmbH corporate family.",24,$2.55 million,3,2.35
43,Gebhardt Fördertechnik GmbH,"Gebhardt Fördertechnik GmbH is located in Sinsheim, Baden-Württemberg, Germany and is part of the Other General Purpose Machinery Manufacturing Industry. Gebhardt Fördertechnik GmbH has      500 employees at this location and generates $53.50 million in sales (USD).  There are       13 companies in the Gebhardt Fördertechnik GmbH corporate family.",500,$53.50 million,3,2.48
47,Data Virtuality GmbH,"Data Virtuality GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Data Virtuality GmbH has       19 employees at this location and generates $1.90 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Data Virtuality GmbH corporate family.",19,$1.90 million,2,2.35
49,EXTOLL GmbH,"EXTOLL GmbH is located in Mannheim, Baden-Württemberg, Germany and is part of the Household Appliances and Electrical and Electronic Goods Merchant Wholesalers Industry. EXTOLL GmbH has       13 employees at this location and generates $826,125 in sales (USD). (Sales figure is estimated). ",13,"$826,125",1,2.48
50,Freie Universität Berlin,"Freie Universität Berlin is located in Berlin, Berlin, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Freie Universität Berlin has    4,550 employees at this location and generates $433.87 million in sales (USD). (Sales figure is modelled). There are       42 companies in the Freie Universität Berlin corporate family.","4,550",$433.87 million,2,2.23
51,Economic AI GmbH,"Economic AI GmbH is located in Regensburg, Bayern, Germany and is part of the Software Publishers Industry. Economic AI GmbH has        3 total employees across all of its locations and generates $312,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$312,000",3,2.35
52,IDS Imaging Development Systems GmbH,"IDS Imaging Development Systems GmbH is located in Obersulm, Baden-Württemberg, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry. IDS Imaging Development Systems GmbH has      200 employees at this location and generates $69.87 million in sales (USD). (Sales figure is estimated). There are        7 companies in the IDS Imaging Development Systems GmbH corporate family.",200,$69.87 million,1,2.35
53,Eberhard Karls Universität Tübingen,"Eberhard Karls Universität Tübingen is located in Tübingen, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Eberhard Karls Universität Tübingen has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are       36 companies in the Eberhard Karls Universität Tübingen corporate family.",,$4.77 million,4,2.23
56,insinno GmbH,"insinno GmbH is located in Heidelberg, Baden-Württemberg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. insinno GmbH has       12 employees at this location and generates $802,522 in sales (USD). (Sales figure is estimated). There are        3 companies in the insinno GmbH corporate family.",12,"$802,522",1,2.23
57,Universität Kassel,"Universität Kassel is located in Kassel, Hessen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Kassel has    2,000 employees at this location and generates $190.71 million in sales (USD). (Sales figure is modelled). There are       31 companies in the Universität Kassel corporate family.","2,000",$190.71 million,2,2.23
58,assono GmbH,"assono GmbH is located in Schwentinental, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. assono GmbH has       18 employees at this location and generates $1.45 million in sales (USD). (Sales figure is estimated). There are        2 companies in the assono GmbH corporate family.",18,$1.45 million,1,2.35
60,LandesCloud GmbH,"LandesCloud GmbH is located in Stuttgart, Baden-Württemberg, Germany and is part of the Other Telecommunications Industry. LandesCloud GmbH has        2 employees at this location and generates $209,296 in sales (USD). (Sales figure is modelled). There are        7 companies in the LandesCloud GmbH corporate family.",2,"$209,296",2,2.35
61,ENLYZE GmbH,"ENLYZE GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. ENLYZE GmbH has        4 total employees across all of its locations and generates $567,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$567,000",2,2.35
62,Latentine GmbH,"Latentine GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Latentine GmbH has        5 total employees across all of its locations and generates $300,946 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the Latentine GmbH corporate family.",5,"$300,946",3,2.35
63,interface projects GmbH,"interface projects GmbH is located in Dresden, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. interface projects GmbH has       37 employees at this location and generates $4.89 million in sales (USD). (Sales figure is estimated). There are        2 companies in the interface projects GmbH corporate family.",37,$4.89 million,2,2.23
64,Hiersemann Prozessautomation GmbH,"Hiersemann Prozessautomation GmbH is located in Chemnitz, Sachsen, Germany and is part of the Scientific Research and Development Services Industry. Hiersemann Prozessautomation GmbH has       24 employees at this location and generates $2.05 million in sales (USD). (Sales figure is estimated). ",24,$2.05 million,1,2.23
65,149 Technologies GmbH,"149 Technologies GmbH is located in Düsseldorf, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. 149 Technologies GmbH has        1 employees at this location and generates $165,225 in sales (USD). (Sales figure is estimated). ",1,"$165,225",1,2.35
66,CellmatiQ GmbH,"CellmatiQ GmbH is located in Hamburg, Hamburg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. CellmatiQ GmbH has        3 total employees across all of its locations and generates $316,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$316,000",2,2.23
67,Computomics GmbH,"Computomics GmbH is located in Tübingen, Baden-Württemberg, Germany and is part of the Office Administrative Services Industry. Computomics GmbH has       13 employees at this location and generates $289,144 in sales (USD). (Sales figure is estimated). ",13,"$289,144",3,2.23
68,paragon semvox GmbH,"paragon semvox GmbH is located in Kirkel, Saarland, Germany and is part of the Computer Systems Design and Related Services Industry. paragon semvox GmbH generates $4.74 million in sales (USD).  There are       24 companies in the paragon semvox GmbH corporate family.",,$4.74 million,3,2.35
69,TU Clausthal,"TU Clausthal is located in Clausthal-Zellerfeld, Niedersachsen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. TU Clausthal has    1,000 employees at this location and generates $4.00 million in sales (USD). (Sales figure is modelled). ","1,000",$4.00 million,2,2.23
70,Dialego AG,"Dialego AG is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Other Professional, Scientific, and Technical Services Industry. Dialego AG has       31 employees at this location and generates $2.64 million in sales (USD).  There are        3 companies in the Dialego AG corporate family.",31,$2.64 million,2,2.23
72,logarithmo GmbH & Co.KG,"logarithmo GmbH & Co.KG is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. logarithmo GmbH & Co.KG has        5 total employees across all of its locations and generates $182,928 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the logarithmo GmbH & Co.KG corporate family.",,"$182,928",,
74,Mainzer Stadtwerke AG,"Mainzer Stadtwerke AG is located in Mainz, Rheinland-Pfalz, Germany and is part of the Management of Companies and Enterprises Industry. Mainzer Stadtwerke AG has    1,350 total employees across all of its locations and generates $62.21 million in sales (USD).  There are    1,427 companies in the Mainzer Stadtwerke AG corporate family.",80,$62.21 million,2,2.73
76,Universität Duisburg-Essen,"Universität Duisburg-Essen is located in Duisburg, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Duisburg-Essen has    5,710 employees at this location and generates $544.49 million in sales (USD). (Sales figure is modelled). There are       26 companies in the Universität Duisburg-Essen corporate family.","5,710",$544.49 million,1,2.23
78,KPS AG,"KPS AG is located in Unterföhring, Bayern, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. KPS AG has      632 total employees across all of its locations and generates $196.37 million in sales (USD).  There are       23 companies in the KPS AG corporate family.",471,$196.37 million,2,2.23
